title,author,litres mark,litres votes,livelib mark,livelib votes,avg_word_len,avg_sent_len,avg_words_per_par,comma_freq,colon_freq,dash_freq,A1 voc,A2 voc,B1 voc,B2 voc,C1 voc,C2 voc,unknown voc,TTR,TTR-root,TTR-log,TTR-corrected,TTR-hdd,TTR-mtld,FKD-oborneva,FRE-oborneva,FKD-soloviev,FRE-soloviev
Целитель. Пусть этот мир прогнется под нас, Сергей Александрович Богдашов,4.6,109,2.7,3,5.754282600551715,14.773854244928623,64.09740259740259,76.23381563561053,0.6199016610546781,0.0,0.58,0.11,0.13,0.07,0.01,0.03,0.07,0.2851619221287947,69.39812463484309,0.8858235619600685,49.071884530926745,0.941664861993263,449.1195511773483,12.260101136456957,41.18496329719585,7.380215660919456,74.79725209332794
"Вы призвали не того_. (книга 7, том 2) [СИ] ", Тимур Аскарович Айтбаев,4.5,102,4.4,1934,5.182913386847873,9.378708974203706,16.716131811328882,76.79570686164006,1.795457492543864,0.5785363031530228,0.57,0.1,0.12,0.08,0.02,0.03,0.08,0.2455387628361228,68.40491359082323,0.8752785051892455,48.36957826655093,0.9333635714790968,312.7556155292795,7.505787292652233,62.94502407101896,4.027858969297988,98.4191397890558
Проза (сборник), Марина Ивановна Цветаева,4.2,11,4.5,25,4.8729664048963794,11.232733017377567,25.568559954102124,104.9540005914499,12.51362157738879,0.3970006198070901,0.63,0.1,0.08,0.05,0.02,0.02,0.1,0.1948907238702149,82.28543934803416,0.864749529043136,58.184592155909314,0.9269356948556252,155.88393278802533,7.479154712366572,67.4023403004655,4.041714473279098,98.04381424541334
"Игрок, забравшийся на вершину. Том 4. ", Leach23,4.1,138,3.3,80,5.181479084544331,10.853658536585366,22.93052575107296,91.40096618357488,5.46583850931677,3.358638141246837,0.63,0.1,0.11,0.06,0.02,0.02,0.05,0.2041761712581154,59.69665730289383,0.8600952259383965,42.21191119304566,0.9370927654177216,382.5658370094137,8.248050701045976,60.94768331443902,4.561780852884352,94.56726871696364
Контакт. Игра, Никита Семин,4.5,7,None,None,5.169468767138832,11.611972908018352,31.17815420560748,80.6736239997566,2.723096114643868,0.0,0.62,0.14,0.11,0.05,0.02,0.01,0.04,0.2187271671319107,50.53355000655562,0.86036644403391,35.73261588706498,0.9252661225513372,303.6406882170605,8.574238002264213,60.38891155737815,4.798813513868085,92.83721779785944
Файролл. Сицилианская защита, Андрей Васильев,4.8,965,4.3,62,4.835866101570141,10.186971868649051,27.467528735632182,99.01077265378645,2.3690234181166265,0.0,0.65,0.11,0.1,0.06,0.01,0.02,0.06,0.2093590132549405,64.72783460967831,0.8636437843139027,45.769490784024846,0.9227602136737796,242.279088986154,6.766270713847252,70.11613104623281,3.534913796663272,101.65007633498811
Барон, Алекс Каменев,4.0,47,5.0,1,5.866853499614657,9.453081694602083,19.990264255910983,64.90160920583763,1.3845071381556548,28.54127420050387,0.52,0.13,0.13,0.08,0.02,0.02,0.1,0.2672232658456829,71.63627291603392,0.8819883299323673,50.65449435785779,0.9462294167030316,718.1649667247995,9.753344574574324,47.0526421009582,5.570458939028514,87.90848395144677
Королевство Грез_ Великий Катаклизм, Кузьма Тайга,4.6,26,None,None,5.43689789892974,10.198785058808324,25.550565428109856,88.44030053408166,0.8951651026422458,0.0,0.59,0.12,0.09,0.08,0.02,0.02,0.08,0.254112975631963,71.45908091575413,0.8785288427928831,50.52920069288795,0.9428572408191024,513.5849347181363,8.551544226404616,57.32483652692105,4.758965194722899,93.32091788496032
Пенсия. Начало 1, Константин Левашов,4.2,29,4.0,1,5.019836511062458,10.327027639329406,48.00052521008404,51.85996622392624,2.4099685060933864,0.3560180747637957,0.68,0.12,0.09,0.04,0.01,0.03,0.03,0.1967765583797446,59.48806288577001,0.8576821143638496,42.06441266617975,0.9229307750319145,228.09546612412532,7.467708129111109,65.38617296167087,4.018072321858055,98.34290154576355
Некросы, Сергей Александрович Ли,4.5,8,5.0,1,5.418972947712757,11.702230745937216,31.847969264544457,83.05690136860346,0.5587580012023906,0.0778017470028645,0.62,0.12,0.11,0.07,0.03,0.02,0.04,0.1833629172626535,62.46569361937213,0.8545433506722486,44.16991554977929,0.9356677359586478,350.4513075814035,9.491323438966486,54.00837664360449,5.429034513914106,88.53629263957944
Зверолов, Владимир Поселягин,3.7,137,5.0,1,5.114109392171781,12.018008903278025,29.20910871694417,82.99382758103854,1.580575274897467,0.0,0.56,0.12,0.14,0.08,0.03,0.02,0.05,0.2200016765864699,53.72952633485297,0.8623047190581659,37.99251242131572,0.9278191079895506,265.09765816359254,8.726670767241718,60.22993716872253,4.910351749463244,92.01677516735538
СПАСАТЕЛИ ВЕЕРА, Василий Головачёв,4.0,642,None,None,5.447499129414783,11.07527274202052,23.79876349703936,99.49046548517045,4.119640758196487,40.54879092537858,0.54,0.1,0.13,0.08,0.03,0.02,0.09,0.165071989169609,86.29729307102808,0.8561012822302204,61.02140112856682,0.9371538272804344,467.5583569258522,9.226138918040938,54.50409547140572,5.23664313436098,89.93794030707478
Наемники. Смерть на Бетельгейзе (СИ), Вик Декард,4.7,302,4.2,70,5.449888812207653,8.464183381088825,31.793210945618288,53.93387879278841,3.9604316870538887,5.949648511687774,0.59,0.13,0.11,0.07,0.03,0.02,0.05,0.1547822676413871,46.893407600441954,0.8367288892372907,33.15864650721729,0.9336535688051234,256.14067700785546,7.635830451875734,59.94506831921268,4.1014531662887865,98.0546001245399
Посмотри в глаза Инферно, Влад Поляков,3.8,34,3.0,2,5.338728742266285,10.444839067702553,43.167352537722905,87.58745568770136,2.2273040269996853,0.0170023208167914,0.58,0.12,0.12,0.07,0.02,0.02,0.07,0.2150158356901501,66.06516819530816,0.8658233185093838,46.71512843113223,0.9361126742877208,402.7505442679288,8.671696349590047,57.05794093746286,4.845817221588847,92.6907990950471
Империя. Врагов не будет! (СИ), Леонид Васильевич Мешалкин,4.4,1293,4.2,5,5.573933964354681,13.06778276847693,44.01783264746228,72.0425499735323,1.1091225328325478,35.03818910539185,0.59,0.12,0.1,0.07,0.02,0.03,0.07,0.3265605035993643,58.49809840685197,0.8921442684235218,41.36440207000301,0.9378469964969018,419.2383703573814,10.817183550771691,47.49646237969856,6.36058460318842,82.00067414392137
"Похоже, вы доигрались. Том Второй ", Николай Михайлович Новиков,4.9,192,None,None,5.177915727597433,11.118859649122808,17.29069504188363,79.6053976691883,1.696994479656512,5.223880597014926,0.58,0.12,0.12,0.07,0.03,0.02,0.06,0.2297670642766422,63.49765699556574,0.8691951479542359,44.89962385102195,0.928587264054467,330.7513961716037,8.297218725963596,61.28192541905065,4.600660104300898,94.25748851110087
Бродяга… С волками жить – по,волчьи выть!,3.9,66,None,None,5.214053868145569,13.112111408074272,59.50508905852417,68.61114256102978,0.4790064535233101,0.0,0.58,0.13,0.12,0.07,0.01,0.02,0.07,0.1925124542986038,58.87923468430324,0.8560570887480417,41.633906116345,0.9355447179309604,262.27754276004464,9.532079681388677,56.97478061569353,5.481506102506367,87.96460538267739
Игра Джи. Последняя надежда, Сергей Анатольевич Савинов & Антон Дмитриевич Емельянов,4.7,62,4.3,24,5.238348709099356,11.198901588244023,28.10785767234989,88.79555702422957,3.784204410996578,0.0,0.63,0.15,0.08,0.07,0.02,0.02,0.04,0.2140172743456188,58.93640948199502,0.8627932273484988,41.674334803505815,0.9337216497032704,294.61248478456275,8.592638289419288,59.37342797965201,4.804777843584626,92.8548410585326
Враг за спиной, Константин Николаевич Муравьев,4.1,289,4.0,26,4.970333571601921,11.430141096949214,16.80851395602682,90.73595109334588,0.0288566359575059,32.75441934035868,0.69,0.12,0.08,0.04,0.01,0.01,0.04,0.0626239975826683,54.398269804965565,0.7952836063841388,38.46538546390656,0.9128860844587682,204.3565147837692,8.083298165705997,63.4933694793298,4.45909710681819,95.1760562215086
Дикарь. Часть 4. Игра чужаков, Хайдарали Усманов,3.7,43,None,None,5.37513724827761,13.276704454734151,281.68581081081084,77.82986995436448,0.0,0.0,0.64,0.14,0.12,0.03,0.01,0.01,0.04,0.1404190503604025,40.54659346504454,0.8267498174783844,28.670771193147147,0.9285994396151772,217.90864871874848,10.366625597280285,51.34367049548874,6.056324490416715,84.03026151053274
Путь Шамана. Все только начинается, Василий Михайлович Маханенко,4.8,742,4.4,477,5.348347493800561,10.278015219430834,34.18458347735914,85.13238289205702,1.884908749650573,0.0,0.6,0.12,0.1,0.06,0.02,0.03,0.07,0.1849417569972496,58.15999256774106,0.8532655064132375,41.12532513840891,0.9348629482283096,323.2425279274041,8.507378437961336,57.85308729572861,4.730277820745522,93.50217119394873
Кроу. Суровые земли, Дем Михайлов,4.7,139,None,None,5.422620535800142,10.268386334547603,32.0337216431637,70.79935254933699,1.2995704413870386,0.0,0.56,0.1,0.14,0.09,0.04,0.03,0.06,0.2570865312840928,83.10458817908834,0.8824646467373827,58.763817849148765,0.940704968187396,485.6741614607973,8.574902828449847,57.32425253119129,4.776236151667535,93.19241016698184
Игра под названием _ЖИЗНЬ_, Илья Котов,5.0,18,None,None,5.209662853702588,7.87815684536996,18.43711340206185,77.07058971738917,3.9053204742374814,60.52546856846909,0.63,0.09,0.07,0.06,0.02,0.02,0.13,0.2397673898456721,55.53708403377626,0.8688659228233501,39.270648727610336,0.931619221270292,249.5633763594808,6.921266042413222,63.7646004093111,3.601733111709516,101.54063673899792
А я не верил в экстрасенсов. Дилогия, Игорь Леонидович Козырев,4.4,53,4.0,126,4.788671099642715,9.975133478346846,27.79964221824687,94.42954315400584,0.1772400184329619,22.91910371692012,0.69,0.1,0.07,0.05,0.01,0.02,0.06,0.1198297198297198,53.85942682240368,0.8263210249055807,38.08436593694227,0.9148757426778596,180.28258601254052,6.711696986473754,69.99373930531974,3.4936313342706065,101.9648056079664
Дем Михайлов.Орбит Дерриано. Путь паладина., Руслан Алексеевич Михайлов,4.7,617,4.3,359,5.444213763936947,8.980150581793293,34.53964194373402,55.20285386057199,2.720841647016144,38.03131991051454,0.53,0.13,0.12,0.08,0.05,0.01,0.08,0.2637541651240281,30.65113923122252,0.859871339620094,21.673628401490465,0.9412872506544968,392.5809434378247,8.36063737865862,56.24096147524327,4.609617150323947,94.49866860024582
Галактиона. Поиск ульдан, Василий Маханенко,4.6,137,3.7,43,5.6499557784669125,9.631935483870969,37.91599831152385,73.80329177942416,2.244798367419369,39.98935273501619,0.58,0.12,0.12,0.07,0.02,0.03,0.07,0.2129855382251761,63.832799811584685,0.8644059491245231,45.1366056088949,0.941360977382456,432.1275073718431,9.003427178959821,52.8235095722828,5.059281396044552,91.3606302463992
Менталист. Эмансипация, Андрей Еслер,4.2,7,3.5,7,5.298788761293312,7.9133950697795745,20.297801465689545,88.45896922049226,0.0899234366168234,32.98905503314321,0.61,0.1,0.1,0.08,0.01,0.02,0.07,0.2696688220041356,66.5672448218488,0.881047867844602,47.07015021843439,0.9429780545491212,464.07341120182775,7.149720747618481,62.19025955144909,3.758840905003391,100.46746596343584
Игра Богов. Эпизод I, Сергей Байдюк,4.8,35,4.6,224,4.806060817651782,9.336872900639287,23.060032017075773,87.16027937610828,5.292584952773858,0.9047153765425398,0.66,0.12,0.1,0.06,0.03,0.01,0.03,0.1808305082784713,53.162016646137765,0.8495484043884848,37.59122247203613,0.9188571037271864,238.4800041481576,6.198306347912311,72.22626547462482,3.1307475399168467,104.52932079987842
"Игрок, забравшийся на вершину. Том 5. ", Leach23,4.1,138,3.3,80,5.299026425591099,11.81368610610888,29.087252897068847,100.06424521186952,3.8640236124430873,3.2122605934767834,0.61,0.12,0.12,0.07,0.02,0.01,0.04,0.2162475686063134,63.17316581135945,0.8651334803539188,44.670173934234434,0.9366617012406796,427.43039778974776,9.08269623844701,57.15622647474848,5.150520804700053,90.41696491312564
Элита. Повесть о космических пилотах, Сергей Савкин & Кирилл Злонский,4.0,11,None,None,5.136399213081463,9.657707187945428,63.86764705882353,85.95129426658227,0.9827764266915414,0.0499716827131292,0.65,0.13,0.11,0.04,0.01,0.01,0.04,0.2394030100684487,52.32640085227388,0.867312208599391,37.0003528777284,0.9240171870244016,283.38548762648054,7.420184467957014,64.26655525656656,3.974497324077438,98.73559287764856
Карты судьбы 4. Слово лорда, Антон Емельянов & Сергей Сергей Савинов,4.5,92,4.6,13,5.016000226151607,13.00932699341624,44.03522867737948,95.55649694874114,1.144937658144514,0.0,0.66,0.1,0.12,0.04,0.02,0.01,0.05,0.1855183932406069,49.51951253651779,0.8492383312894722,35.015583115623976,0.9217459418154388,285.0542948106233,8.770782919739819,62.10592818360664,4.9570972507537,91.55429584004796
Защита Периметра. Игра без правил, Михаил Александрович Атаманов,4.9,478,4.5,153,5.6889845859393695,14.781937216719824,44.29352734570998,66.01131677376043,4.09513762347751,0.0,0.56,0.12,0.13,0.07,0.02,0.02,0.07,0.2110629042672497,62.70983999586824,0.8634029696219899,44.34255310820181,0.9423262685434504,449.61506759551565,12.074734293819224,42.53607606665105,7.253294079589759,75.65938674707463
Океанский патруль. Том 1, Валентин Саввич Пикуль,4.5,42,None,None,5.312920667266602,10.841232799549369,20.08916344150045,93.17503694026232,7.6961256938779,46.58751847013116,0.56,0.12,0.1,0.08,0.03,0.02,0.08,0.223075156158537,81.9505988465546,0.8729974349608681,57.94782416669722,0.943180081370303,414.69702556538834,8.448974084981277,59.53480653983084,4.699742681445413,93.62673613184788
Перекресток миров. Книга первая. Метеор,Сити,4.6,39,4.7,23,5.449759358702549,10.839118825100131,42.23022049286641,84.42148864698305,1.3133634733412471,0.0,0.59,0.13,0.13,0.06,0.02,0.02,0.06,0.2414349114697707,61.61038612220942,0.8717828405243918,43.56512181853584,0.9415517888659252,414.7302821671089,9.247438280633002,53.79650289729565,5.247069169451448,89.90355371455318
Шкуры из стали, Денис Владимиров,4.3,79,3.8,4,5.405848705520204,11.21237007570897,33.8600154679041,110.23263293310464,2.3852915951972555,16.884648370497427,0.59,0.12,0.12,0.09,0.03,0.02,0.05,0.2502569607820744,74.05322938007225,0.8782728838423922,52.36354066341197,0.9401347589882812,471.7149696014317,8.96210300779347,56.69365520113897,5.057851526566962,91.13492763349691
Опыт на продажу, Тимур Сабаев,4.3,10,None,None,5.407447891710589,9.2803260569218,44.20762155059133,69.98786684766287,0.636690172146607,0.0,0.57,0.11,0.12,0.08,0.01,0.03,0.08,0.258382379168896,67.02221767333022,0.8782626669224614,47.39186460697267,0.9277219642013887,311.9856776516625,8.183238604678845,57.85519374114577,4.490569141543192,95.28613387073452
Реликт. Пояс Скорби, Андрей Дай,4.3,91,4.4,16,5.561206684847937,11.563766388557807,54.000693481276,83.0819361959321,1.05113785672991,0.2838072213170757,0.56,0.13,0.12,0.07,0.03,0.02,0.07,0.2552492005804621,71.22733401396731,0.8787586577131768,50.36533088711552,0.9330153538464132,492.2878335225698,9.865628132198228,51.04849216931032,5.6835791786053935,86.82253712599432
Демон Чернокнижник, Игорь Гергардович Гардер,4.1,46,None,None,4.904142360045031,13.117282917851766,43.97316936836221,94.30004935022208,2.7553873992432965,0.0205625925316663,0.63,0.13,0.11,0.06,0.02,0.03,0.04,0.2143184013830274,60.11163154762847,0.863364353693873,42.50534229551529,0.9141027284229872,228.4619358681224,8.441433046738112,64.77025633301898,4.733575099697097,93.055207840696
